"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"ChatGPT正在变成超级App，但真正危险的不是功能多#Agent #codex #大模型","export/UzFfBgAAxJmnMBcUSSnLjMzT4DCaZL6fZ3RxV2cQ2Pha3siA0A","2026/06/12","9.45%","16.75秒",274,3,2,0,8,0,8,0,0,0
"瑞幸点单都被AI接管了，你还在手动加班？#瑞幸 #skill #AI ","export/UzFfBgAAxJOnQGtfRCXJjMzT4DCaf0e4D2hMbl9z5Lo0IDDQ9Q","2026/06/11","3.93%","15.21秒",10695,6,19,6,58,26,58,0,0,0
"AI能写代码能画画，但考不上大学#ai #高考","export/UzFfBgAAxJenNDtdGXbJjMzT4DCaDAKOzvKMNWTwBcXQgaDl3g","2026/06/10","7.34%","17.99秒",354,4,3,0,1,0,1,0,0,0
"你身边还没人聊Codex？那你运气来了#codex #AI #自动化办公","export/UzFfBgAAxISieF18J2bPjMzT4DCa6j8fBDjQqncf6-ALyQ60WQ","2026/06/09","8.86%","26.53秒",474,5,4,0,4,1,4,0,0,0
"openai最新报告，打工人必须用上AI#openai #codex #打工人","export/UzFfBgAAxI-iKEkNG0rMjMzT4DCamACBYl9KJeu4NKO_q2yLJA","2026/06/08","25.64%","37.24秒",13498,7,18,3,18,0,18,0,0,0
"拉勾网申请破产，AI招聘来了#拉勾网 #破产 #AI #招聘","export/UzFfBgAAxKuiTBE_fTbCjMzT4DCasPEnkmWwR6zM870TalK5Pg","2026/06/07","9.02%","12.90秒",665,5,11,1,2,1,2,0,0,0
"AI输入法，太上头了#ai #输入法 #神器 #千问","export/UzFfBgAAxKeiICpITTLDjMzT4DCaEMK7y8pkbav7S_EOy17BsQ","2026/06/06","13.20%","23.91秒",871,8,10,4,25,0,25,0,0,0
"AI，我只用国产#大模型 #国产 #芯片","export/UzFfBgAAxJiiGDR9IQzAjMzT4DCaOBDveNvP4qkjVoFyfufEcQ","2026/06/05","10.63%","18.80秒",847,11,9,12,9,0,9,0,0,0
"会用AI的女人，到底有多好追#ai #自动化办公","export/UzFfBgAAxN6hNFN8ThfBjMzT4DCaXks7us3S5-FhIw_f9ByWBA","2026/06/04","5.85%","10.86秒",615,11,9,5,30,1,30,0,0,0
"我求你别去碰Claude Code#Claude #codex #opc
","export/UzFfBgAAxKuieFQpKW3GjMzT4DCaROBbWm5azrCb8UcxQz_SBg","2026/06/03","14.94%","26.20秒",1224,8,14,3,25,14,25,0,0,0
"姐妹你要把握住：会用AI的男人#codex #ai","export/UzFfBgAAxJmiBB5nbDPwjMzT4DCafgBd_khb2Gc6I-Zk0mBPvA","2026/05/24","15.56%","18.00秒",907,9,10,3,68,2,68,0,0,0
"腾讯文档大裁员？我查到了真相#裁员 #腾讯 #大厂 #AI
","export/UzFfBgAAxIWiQEpyKFPwjMzT4DCazDzOwY0dAxbYIofnRnhbzQ","2026/05/23","26.05%","18.13秒",1189,5,9,1,11,0,11,0,0,0
"打败你的不是 AI，是会玩转 AI 的年轻人#ai #打工人","export/UzFfBgAAxNKhVF4MA1j0jMzT4DCaoYnESvMv4_HsD16xmBOlwQ","2026/05/20","8.19%","24.75秒",794,16,8,2,5,1,5,0,0,0